nation,player,position,club,league,nat_matches,nat_minutes,nat_xg_per_90,nat_shots_per_90,nat_key_passes_per_90,nat_prog_passes_per_90,nat_prog_carries_per_90,nat_pressures_per_90,club_minutes_2425,club_xg_per_90,club_xa_per_90,blended_xg90,found_in_understat,low_confidence
Australia,Awer Mabil,,,,2,33,0.0,0.0,38.18,5.45,10.91,13.64,0,,,0.1407,False,True
Australia,Jason Cummings,,,,1,41,0.0,0.0,13.17,2.2,2.2,21.95,0,,,0.1386,False,True
Australia,Ajdin Hrustic,,,,3,78,0.0384,1.15,26.54,6.92,4.62,26.54,0,,,0.1349,False,True
Australia,Jamie MacLaren,,,,3,68,0.0,0.0,21.18,5.29,2.65,14.56,0,,,0.132,False,True
Australia,Nathaniel Atkinson,,,,1,85,0.0,0.0,39.18,13.76,3.18,9.53,0,,,0.1282,False,True
Australia,Keanu Baccus,,,,4,131,0.0244,0.69,27.48,9.62,3.44,26.79,0,,,0.1239,False,True
Australia,Jackson Irvine,M,St. Pauli,Bundesliga,4,367,0.0815,0.74,31.63,10.05,1.72,16.68,2610,0.127,0.1655,0.1088,True,False
Australia,Mitchell Thomas Duke,,,,4,274,0.0837,2.3,22.34,6.24,1.64,19.38,0,,,0.0837,False,False
Australia,Fran Karačić,D S,Real Madrid,La_liga,2,101,0.0494,2.67,49.01,29.41,4.46,13.37,2180,0.0505,0.0915,0.0835,True,True
Australia,Craig Goodwin,,,,4,237,0.0779,0.76,35.7,11.39,1.9,8.35,0,,,0.0779,False,False
Australia,Mathew Leckie,,,,4,343,0.0298,0.26,27.03,7.61,3.41,17.84,0,,,0.0298,False,False
Australia,Aziz Eraltay Behich,,,,4,386,0.0296,0.47,47.56,15.85,1.87,7.69,0,,,0.0296,False,False
Australia,Riley McGree,,,,4,265,0.0272,1.02,24.79,5.77,1.36,17.32,0,,,0.0272,False,False
Australia,Harry Souttar,,,,4,379,0.0162,0.24,38.71,22.08,1.9,6.65,0,,,0.0162,False,False
Australia,Aaron Mooy,,,,4,378,0.0093,0.24,52.14,21.19,3.1,10.48,0,,,0.0093,False,False
Australia,Kye Rowles,,,,4,371,0.0,0.0,47.3,18.44,1.21,8.49,0,,,0.0,False,False
Australia,Mathew Ryan,GK,Lens,Ligue_1,4,370,0.0,0.0,39.65,28.95,1.95,0.0,1260,0.0,0.0,0.0,True,False
Australia,Miloš Degenek,,,,4,198,0.0,0.0,44.09,21.36,0.91,9.09,0,,,0.0,False,False
Austria,Marko Arnautović,F S,Inter,Serie_A,4,287,0.4935,1.25,17.56,2.82,0.63,17.25,531,0.76,0.1694,0.6534,True,False
Austria,Christoph Baumgartner,F M S,RasenBallsport Leipzig,Bundesliga,4,305,0.4576,2.36,31.87,7.67,8.85,32.16,1608,0.289,0.099,0.3564,True,False
Austria,Michael Gregoritsch,F S,Freiburg,Bundesliga,4,139,0.5317,2.59,20.72,4.53,0.65,18.78,602,0.2963,0.0394,0.271,True,True
Austria,Patrick Wimmer,F M S,Wolfsburg,Bundesliga,3,152,0.0834,1.78,28.42,8.29,5.33,26.05,1815,0.2145,0.1488,0.1825,True,True
Austria,Andreas Weimann,,,,1,6,0.0,0.0,0.0,0.0,0.0,15.0,0,,,0.1482,False,True
Austria,Romano Schmid,M,Werder Bremen,Bundesliga,4,155,0.1044,0.58,41.81,8.71,2.32,23.23,2856,0.1531,0.2069,0.1475,True,True
Austria,Gernot Trauner,,,,2,96,0.1182,0.94,72.19,23.44,10.31,12.19,0,,,0.1449,False,True
Austria,Marcel Sabitzer,M S,Borussia Dortmund,Bundesliga,4,383,0.1565,2.58,40.65,11.04,3.29,9.87,1615,0.1242,0.0838,0.1371,True,False
Austria,Konrad Laimer,D S,Bayern Munich,Bundesliga,4,281,0.0863,0.64,41.0,11.53,4.8,22.74,1700,0.139,0.1345,0.1179,True,False
Austria,Leopold Querfeld,D S,Union Berlin,Bundesliga,1,32,0.0,0.0,25.31,11.25,0.0,14.06,1725,0.0612,0.0671,0.0931,True,True
Austria,Stefan Posch,D S,"Atalanta,Bologna",Serie_A,4,385,0.0792,1.64,49.09,16.36,3.74,15.66,1087,0.0572,0.0641,0.066,True,False
Austria,Florian Grillitsch,M S,Real Valladolid,La_liga,4,200,0.0884,2.25,73.35,22.95,9.45,16.65,627,0.0324,0.0928,0.0548,True,False
Austria,Philipp Lienhart,D S,Freiburg,Bundesliga,3,217,0.0751,0.83,53.5,17.83,4.56,5.39,2780,0.0303,0.0196,0.0482,True,False
Austria,Philipp Mwene,D M,Mainz 05,Bundesliga,3,197,0.0,0.0,49.8,15.08,4.57,12.34,2663,0.0711,0.0865,0.0427,True,False
Austria,Alexander Prass,D M S,Hoffenheim,Bundesliga,4,181,0.0,0.0,45.75,16.41,2.98,13.92,1584,0.0623,0.1745,0.0374,True,False
Austria,Maximilian Wöber,D M S,Bochum,Bundesliga,3,185,0.0,0.0,58.38,21.41,7.3,11.68,2644,0.0586,0.1126,0.0352,True,False
Austria,Kevin Danso,D,Lens,Ligue_1,3,225,0.015,0.4,67.6,29.2,9.6,7.2,1080,0.0378,0.0619,0.0287,True,False
Austria,Nicolas Seiwald,D M S,RasenBallsport Leipzig,Bundesliga,4,383,0.008,0.23,54.05,15.51,3.29,23.03,2081,0.0068,0.1128,0.0073,True,False
Austria,Patrick Pentz,,,,4,373,0.0,0.0,34.99,25.34,0.24,0.24,0,,,0.0,False,False
Belgium,Romelu Lukaku Menama,,,,6,415,0.745,3.47,14.1,3.04,1.52,4.77,0,,,0.745,False,False
Belgium,Charles De Ketelaere,F M S,Atalanta,Serie_A,2,19,0.0,0.0,18.95,0.0,4.74,14.21,2092,0.4068,0.2878,0.3019,True,True
Belgium,Kevin De Bruyne,F M S,Manchester City,EPL,7,658,0.1423,2.46,50.33,19.01,5.47,12.04,1706,0.2925,0.4713,0.2324,True,False
Belgium,Dodi Lukebakio,F M S,Sevilla,La_liga,3,75,0.1474,3.6,36.0,4.8,6.0,15.6,3117,0.2669,0.1557,0.22,True,True
Belgium,Leandro Trossard,F M S,Arsenal,EPL,6,275,0.0658,1.31,42.55,9.16,5.24,13.42,2569,0.3063,0.2468,0.2101,True,False
Belgium,Michy Batshuayi Tunga,,,,2,153,0.3651,3.53,13.53,1.76,0.59,9.41,0,,,0.2004,False,True
Belgium,Dries Mertens,,,,2,81,0.4079,3.33,40.0,7.78,1.11,13.33,0,,,0.186,False,True
Belgium,Johan Bakayoko,,,,2,56,0.465,4.82,33.75,4.82,1.61,20.89,0,,,0.1817,False,True
Belgium,Yannick Ferreira Carrasco,,,,6,342,0.1732,2.63,37.11,8.16,4.47,10.0,0,,,0.1732,False,False
Belgium,Ikoma Loïs Openda,,,,4,96,0.0,0.0,11.25,3.75,3.75,22.5,0,,,0.1258,False,True
Belgium,Leander Dendoncker,,,,2,163,0.0491,0.55,65.71,22.64,2.21,9.39,0,,,0.1252,False,True
Belgium,Thorgan Hazard,,,,2,106,0.0,0.0,50.09,8.49,3.4,26.32,0,,,0.1238,False,True
Belgium,Zeno Debast,,,,2,115,0.0,0.0,82.96,37.57,7.04,7.83,0,,,0.122,False,True
Belgium,Eden Hazard,,,,3,124,0.0066,0.73,42.82,13.06,7.26,3.63,0,,,0.1215,False,True
Belgium,Amadou Onana,M S,Aston Villa,EPL,6,481,0.086,0.94,55.76,13.1,3.56,15.16,1650,0.1406,0.0373,0.1188,True,False
Belgium,Jeremy Doku,F M S,Manchester City,EPL,5,342,0.0672,1.32,34.74,4.47,13.68,13.42,1518,0.1123,0.2755,0.0943,True,False
Belgium,Thomas Meunier,D S,Lille,Ligue_1,3,217,0.0494,1.24,58.89,20.74,5.39,9.95,1897,0.1188,0.0307,0.091,True,False
Belgium,Youri Tielemans,M S,Aston Villa,EPL,6,261,0.0529,1.38,61.38,19.66,3.79,11.72,3049,0.1095,0.2374,0.0869,True,False
Belgium,Orel Mangala,M S,Everton,EPL,4,138,0.0,0.0,44.35,9.13,3.91,11.09,1254,0.0512,0.0355,0.0777,True,True
Belgium,Arthur Theate,D,Eintracht Frankfurt,Bundesliga,3,258,0.0048,0.7,68.02,27.56,4.53,6.28,2722,0.0816,0.0321,0.0509,True,False
Belgium,Jan Vertonghen,,,,6,550,0.0348,0.49,77.07,26.18,1.64,5.07,0,,,0.0348,False,False
Belgium,Wout Faes,D S,Leicester,EPL,4,364,0.0,0.0,71.21,23.24,6.18,9.89,2799,0.0503,0.0055,0.0302,True,False
Belgium,Timothy Castagne,D S,Fulham,EPL,7,648,0.0,0.0,58.33,17.22,3.47,8.75,1627,0.02,0.0484,0.012,True,False
Belgium,Axel Witsel,D S,Atletico Madrid,La_liga,3,281,0.0081,0.32,56.37,12.49,4.16,13.77,845,0.0065,0.0897,0.0071,True,False
Belgium,Koen Casteels,,,,4,371,0.0,0.0,34.93,16.25,0.24,0.0,0,,,0.0,False,False
Belgium,Thibaut Courtois,GK,Real Madrid,La_liga,3,270,0.0,0.0,40.67,25.33,0.33,0.0,2700,0.0,0.0057,0.0,True,False
Belgium,Toby Alderweireld,,,,3,280,0.0,0.0,85.82,34.71,6.11,4.18,0,,,0.0,False,False
Bolivia,Bruno Miranda Villagomez,,,,2,96,0.3981,0.94,21.56,2.81,1.88,17.81,0,,,0.19,False,True
Bolivia,Miguel Ángel Terceros,,,,3,193,0.1481,3.26,27.98,5.13,5.13,21.45,0,,,0.1481,False,False
Bolivia,Jaume Cuéllar Mendoza,,,,1,18,0.0,0.0,25.0,0.0,5.0,25.0,0,,,0.1448,False,True
Bolivia,Adalid Terrazas Abasto,,,,2,44,0.0,0.0,69.55,20.45,4.09,24.55,0,,,0.1379,False,True
Bolivia,César Alejandro Menacho Claros,,,,1,47,0.0,0.0,17.23,0.0,0.0,34.47,0,,,0.1371,False,True
Bolivia,Rodrigo Luis Ramallo Cornejo,,,,1,48,0.0,0.0,20.62,9.38,0.0,22.5,0,,,0.1369,False,True
Bolivia,Leonel Justiniano Arauz,,,,2,73,0.0,0.0,56.71,17.26,2.47,12.33,0,,,0.1309,False,True
Bolivia,Roberto Carlos Fernández Toro,,,,2,117,0.0205,0.77,47.69,17.69,4.62,17.69,0,,,0.1254,False,True
Bolivia,Fernando Javier Saucedo Pereyra,,,,2,106,0.0062,0.85,37.36,9.34,3.4,13.58,0,,,0.1248,False,True
Bolivia,Yomar Rene Rocha Rodriguez,,,,2,134,0.0,0.0,29.55,12.76,2.69,17.46,0,,,0.1183,False,True
Bolivia,Marcelo Sebastián Suárez Justiniano,,,,2,140,0.0,0.0,41.79,21.21,2.57,16.07,0,,,0.1172,False,True
Bolivia,Ramiro Vaca Ponce,,,,3,170,0.0141,0.53,39.18,10.59,2.65,18.53,0,,,0.1155,False,True
Bolivia,Boris Cespedes,,,,2,158,0.0,0.0,46.14,14.24,2.85,15.38,0,,,0.114,False,True
Bolivia,Jesús Manuel Sagredo Chávez,M S,Dinamo Moscow,RFPL,1,92,0.0,0.0,24.46,10.76,0.0,11.74,1427,0.0909,0.1033,0.1052,True,True
Bolivia,Lucas Leónidas Chávez Cruz,M S,Como,Serie_A,2,37,0.0,0.0,19.46,4.86,0.0,19.46,2639,0.0539,0.1568,0.0882,True,True
Bolivia,Gabriel Alejandro Villamíl Cortéz,,,,3,241,0.0549,1.12,45.56,11.2,2.61,16.8,0,,,0.0549,False,False
Bolivia,Diego Daniel Medina Roman,GK,Mallorca,La_liga,2,61,0.0,0.0,23.61,7.38,0.0,25.08,630,0.0,0.0,0.0535,True,True
Bolivia,Luis Fernando Haquín Lopez,M S,Rayo Vallecano,La_liga,3,282,0.0085,0.32,43.72,17.55,2.87,11.81,1740,0.0808,0.0469,0.0519,True,False
Bolivia,José Manuel Sagredo Chávez,D M S,Lens,Ligue_1,3,278,0.0,0.0,39.82,14.24,1.29,12.95,606,0.0705,0.1253,0.0423,True,False
Bolivia,Carmelo Algarañaz Añez,,,,3,203,0.0052,0.89,9.75,1.33,0.44,12.86,0,,,0.0052,False,False
Bolivia,Guillermo Viscarra Bruckner,,,,3,272,0.0,0.0,25.15,18.2,0.0,0.0,0,,,0.0,False,False
Bolivia,Héctor Manuel Cuellar Rosales,,,,3,233,0.0,0.0,52.92,18.93,3.86,11.59,0,,,0.0,False,False
Brazil,Neymar da Silva Santos Junior,,,,3,283,0.6771,3.82,49.61,14.95,9.22,7.63,0,,,0.6771,False,False
Brazil,Richarlison de Andrade,,,,4,329,0.4425,2.19,14.77,2.19,1.64,16.14,0,,,0.4425,False,False
Brazil,Lucas Tolentino Coelho de Lima,,,,8,617,0.4256,2.19,51.35,15.17,1.17,19.11,0,,,0.4256,False,False
Brazil,Vinícius José Paixão de Oliveira Júnior,F M S,Real Madrid,La_liga,7,556,0.2498,2.1,25.9,2.75,9.23,11.82,2267,0.5072,0.343,0.4042,True,False
Brazil,Gabriel Fernando de Jesus,F S,Arsenal,EPL,3,105,0.2777,1.71,23.14,4.29,2.57,12.86,581,0.5228,0.0857,0.3825,True,True
Brazil,Pedro Guilherme Abreu dos Santos,,,,2,73,1.4988,6.16,18.49,1.23,1.23,11.1,0,,,0.3218,False,True
Brazil,Raphael Dias Belloli,,,,9,584,0.2712,2.47,39.14,7.71,5.7,14.02,0,,,0.2712,False,False
Brazil,Gabriel Teodoro Martinelli Silva,D S,Toulouse,Ligue_1,5,181,0.5914,2.49,30.33,7.96,8.95,8.95,2171,0.0385,0.1916,0.2597,True,False
Brazil,Douglas Luiz Soares de Paulo,,,,3,71,0.9932,1.27,45.63,10.14,3.8,7.61,0,,,0.2548,False,True
Brazil,Carlos Henrique Casimiro,,,,4,410,0.251,2.2,56.63,19.54,1.76,11.85,0,,,0.251,False,False
Brazil,Sávio Moreira de Oliveira,,,,4,126,0.5522,2.86,35.0,0.71,12.86,12.14,0,,,0.231,False,True
Brazil,Andreas Hoelgebaum Pereira,M S,Fulham,EPL,3,102,0.7275,1.76,20.29,6.18,0.88,21.18,2063,0.1941,0.2495,0.2156,True,True
Brazil,Bruno Guimarães Rodriguez Moura,,,,6,416,0.2132,2.38,60.14,19.25,5.84,16.88,0,,,0.2132,False,False
Brazil,Rodrygo Silva de Goes,D M S,Wolverhampton Wanderers,EPL,9,528,0.3663,2.9,37.84,6.65,6.31,16.88,756,0.081,0.1166,0.1951,True,False
Brazil,João Victor Gomes da Silva,M S,Nottingham Forest,EPL,4,330,0.0085,0.27,51.0,12.0,2.73,24.0,799,0.3085,0.3779,0.1885,True,False
Brazil,Frederico Rodrigues Santos,,,,4,147,0.286,1.84,48.98,17.14,2.45,18.98,0,,,0.1809,False,True
Brazil,Gleison Bremer Silva Nascimento,,,,2,119,0.2605,0.76,64.29,15.88,4.54,7.56,0,,,0.1712,False,True
Brazil,Antony Matheus dos Santos,M,Strasbourg,Ligue_1,4,186,0.0748,2.9,54.68,7.74,8.71,12.1,2861,0.2037,0.1045,0.1521,True,False
Brazil,Gabriel dos Santos Magalhães,,,,1,2,0.0,0.0,225.0,45.0,45.0,0.0,0,,,0.1494,False,True
Brazil,Francisco Evanilson de Lima Barbosa,,,,1,4,0.0,0.0,0.0,0.0,22.5,0.0,0,,,0.1488,False,True
Brazil,Weverton Pereira da Silva,,,,1,11,0.0,0.0,40.91,40.91,0.0,0.0,0,,,0.1468,False,True
Brazil,Éderson José dos Santos Lourenço da Silva,,,,1,22,0.0,0.0,61.36,0.0,0.0,32.73,0,,,0.1437,False,True
Brazil,Éverton Augusto de Barros Ribeiro,,,,1,44,0.0,0.0,34.77,8.18,12.27,10.23,0,,,0.1379,False,True
Brazil,Endrick Felipe Moreira de Sousa,,,,4,136,0.0806,1.32,4.63,0.66,2.65,13.24,0,,,0.1352,False,True
Brazil,Ederson Santana de Moraes,,,,1,91,0.0,0.0,29.67,21.76,1.98,0.0,0,,,0.1269,False,True
Brazil,Fábio Henrique Tavares,,,,1,100,0.0,0.0,50.4,22.5,2.7,13.5,0,,,0.125,False,True
Brazil,Marcos Aoás Corrêa,,,,9,829,0.1115,0.33,70.46,27.79,8.14,4.89,0,,,0.1115,False,False
Brazil,Wendell Nascimento Borges,,,,2,175,0.0,0.0,46.29,14.4,3.6,6.69,0,,,0.1111,False,True
Brazil,Éder Gabriel Militão,D S,Real Madrid,La_liga,8,759,0.1313,0.83,57.98,24.78,4.27,9.72,938,0.0668,0.0479,0.0926,True,False
Brazil,Alex Nicolao Telles,D S,Como,Serie_A,2,66,0.0,0.0,60.0,25.91,0.0,5.45,1042,0.0284,0.0448,0.07,True,True
Brazil,Daniel Alves da Silva,M S,Verona,Serie_A,2,131,0.0825,2.06,68.02,22.67,2.06,10.99,398,0.0073,0.0334,0.0588,True,True
Brazil,Alex Sandro Lobo Silva,M S,Getafe,La_liga,3,197,0.01,0.46,77.21,27.87,5.48,9.59,1077,0.0854,0.0952,0.0552,True,False
Brazil,Thiago Emiliano da Silva,,,,4,407,0.046,0.44,74.08,30.96,4.64,4.86,0,,,0.046,False,False
Brazil,Guilherme Antonio Arana Lopes,,,,2,188,0.0254,0.48,68.94,19.63,6.22,8.14,0,,,0.0254,False,False
Brazil,Danilo Luiz da Silva,M S,Verona,Serie_A,7,658,0.0149,0.41,71.81,27.08,4.51,4.51,398,0.0073,0.0334,0.0103,True,False
Brazil,Alisson Ramsés Becker,,,,8,785,0.0,0.0,26.03,12.84,0.11,0.0,0,,,0.0,False,False
Cameroon,Nicolas Moumi Ngamaleu,M S,Dinamo Moscow,RFPL,2,90,0.0,0.0,24.0,6.0,2.0,23.0,1640,0.3193,0.1633,0.2424,True,True
Cameroon,Bryan Mbeumo,D F M,Brentford,EPL,3,221,0.0547,0.81,32.99,9.37,2.44,11.4,3419,0.3588,0.2731,0.2372,True,False
Cameroon,Jean-Charles Castelletto,D M,Nantes,Ligue_1,2,186,0.4328,0.48,37.74,18.39,5.81,9.68,2628,0.0607,0.0015,0.2095,True,False
Cameroon,Nicolas Alexis Julio N'Koulou Ndoubena,,,,2,183,0.1881,1.48,45.74,19.18,1.48,8.36,0,,,0.1881,False,False
Cameroon,Vincent Paté Aboubakar,,,,3,152,0.3132,3.55,18.36,5.92,2.96,5.92,0,,,0.188,False,True
Cameroon,Jean-Eric Maxim Choupo-Moting,,,,3,267,0.1765,1.01,23.26,8.09,3.03,10.79,0,,,0.1765,False,False
Cameroon,Samuel Yves Oum Gwet,D S,Lazio,Serie_A,2,110,0.0,0.0,46.64,16.36,0.82,9.82,692,0.1762,0.0,0.1549,True,True
Cameroon,Jules Olivier Ntcham,,,,1,23,0.1304,3.91,46.96,19.57,15.65,23.48,0,,,0.1491,False,True
Cameroon,Jerome Ngom Mbekeli,,,,1,14,0.0,0.0,12.86,6.43,12.86,12.86,0,,,0.1459,False,True
Cameroon,Pierre Kunde Malong,,,,2,134,0.1257,3.36,34.25,12.76,3.36,13.43,0,,,0.1449,False,True
Cameroon,Georges-Kévin Nkoudou Mbida,,,,2,38,0.0166,2.37,26.05,2.37,4.74,35.53,0,,,0.1406,False,True
Cameroon,Gaël Ondoua,,,,2,46,0.0,0.0,37.17,11.74,0.0,27.39,0,,,0.1374,False,True
Cameroon,Karl Brillant Toko Ekambi,,,,3,173,0.0938,1.04,27.05,4.16,5.72,10.92,0,,,0.1356,False,True
Cameroon,Christian Mougang Bassogog,,,,1,67,0.0,0.0,12.09,1.34,8.06,8.06,0,,,0.1323,False,True
Cameroon,Enzo Ebosse,,,,1,93,0.0,0.0,37.74,13.55,5.81,15.48,0,,,0.1265,False,True
Cameroon,Christopher Wooh,D S,Rennes,Ligue_1,1,96,0.0534,0.94,30.94,11.25,4.69,11.25,1457,0.0651,0.0062,0.0928,True,True
Cameroon,Martin Hongla Yma II,M S,Girona,La_liga,2,123,0.0603,0.73,46.83,12.44,3.66,14.63,2054,0.0627,0.0827,0.0905,True,True
Cameroon,André Onana,GK,Manchester United,EPL,1,95,0.0,0.0,56.84,32.21,11.37,0.0,3060,0.0,0.0093,0.0504,True,True
Cameroon,Ngoran Suiru Fai Collins,D,Brentford,EPL,3,281,0.003,0.32,48.68,24.34,3.84,10.89,3420,0.0699,0.0519,0.0431,True,False
Cameroon,André-Frank Zambo Anguissa,,,,3,268,0.0156,0.34,45.0,15.45,3.69,19.14,0,,,0.0156,False,False
